info_Nombre de la publicación aprobada por el Indautor,info_No. Expediente en CCPRI,info_Periodicidad,info_Nombre comercial,info_Nombre fiscal,info_RFC del medio impreso,info_Estado,info_Número exterior,info_Código postal,info_Municipio,info_Colonia,info_Calle,info_Teléfono1,info_Presidente/a,info_Director/a editorial,info_Jefe/a de información y/o redacción,info_Fecha fundación,info_Fecha ejemplar,info_Página electrónica,info_Correo electrónico,info_Director/a general,info_Representante legal,info_Gerente comercial,info_Ejemplar de muestra,info_Cuenta con código de ética,info_Carta protesta firmada por el/la títular o el/la representante legal del medio impreso sobre requisitos obligatorios,info_Carta de conocimiento de leyes generales firmada por el/ella representante legal y editor(a) responsable,info_Tipo Tarifa,circulacion_Nombre de la publicación aprobada por el Indautor,circulacion_No. Expediente en CCPRI,circulacion_Periodicidad,circulacion_Fecha de ingreso/actualización del archivo PDF en el sistema,circulacion_Fecha de emisión del certificado,circulacion_Tiraje promedio,circulacion_Tipo de persona física o moral que lleva a cabo la certificación,"circulacion_Nombre, denominación social o razón social según corresponda",circulacion_Número de ediciones evaluadas,circulacion_Promedio de circulación,circulacion_Ventas,circulacion_Devoluciones,circulacion_Circulación pagada,circulacion_Promedio de circulación pagada,perfil_Nombre de la publicación aprobada por el Indautor,perfil_No. Expediente en CCPRI,perfil_Periodicidad,"perfil_Nombre, denominación o razón social",perfil_Estado,perfil_Núm. Exterior,perfil_Núm. Interior,perfil_Código Postal,perfil_Municipio/Delegación,perfil_Colonia,perfil_Calle,perfil_Teléfono,perfil_Página electrónica,perfil_Instrumento de medición,perfil_Universo,perfil_Tamaño de muestra,perfil_Nivel de confianza,perfil_Inicio,perfil_Termino,perfil_Tipo de entrevista o estrategia para el estudio,perfil_Margen de error,perfil_Mujeres,perfil_Hombres,perfil_Urbana,19-24,25-34,35-44,45-54,AB/C+,C,D+,Licenciatura,Postgrado,Preparatoria o Carrera Técnica,Primaria,Secundaria,Ama De Casa,Estudiante,Otro,Retirado,Trabaja Tiempo,Trabaja Tiempo Completo,info_Gerente general,circulacion_Curriculum,perfil_Persona que realiza el perfil del/la lector/a,perfil_Correo Electrónico,55-64,65 y más,D/E,Comerciante,Empleado,Hogar,Industrial,Obrero,Profesionista,circulacion_Distribución gratuita,circulacion_Circulación gratuita,circulacion_Promedio de circulación gratuita,Jubilado,Labores Del Hogar,info_Teléfono2,circulacion_Suscripciónes pagadas,Empleado IP,Empresario,Profesionista Independiente,Servidor Público,perfil_Rural,13-18,Iniciativa Privada,info_Número interior,circulacion_Directorio,circulacion_Metodología,Autoempleado,Director/Gerente,Maestro,Labor De Hogar,circulacion_Distribución a personas identificadas,circulacion_Circulación controlada,circulacion_Promedio de circulación controlada,Trabaja Medio Tiempo,0-12,Comerciantes,Desempleados,Estudiantes,Industriales,Política,Profesionistas,Otros,Sin Estudios,Empleados,Funcionarios,Al Hogar,Jubilado/Pensionado/Retirado,Temporalmente Desempleado,Trabaja,circulacion_Distribución calificada,circulacion_Circulación calificada,circulacion_Promedio de circulación calificada,info_Teléfono3,info_Teléfono4,Pensionado,Jubilado O Pensionado,Profesionistas Independientes,Otra,info_Fax,PPProfesionista Independiente,Agricultor,Ejecutivo,Funcionario Publico,Gobierno,Trabajo Por Su Cuenta,Desempleado,perfil_Mixta,Agricultor/Campesino,Comerciante Ambulante,Comerciante Formal,Empleado Empresa Privada,Pensionado/Jubilado,Periodista,Profesor,Trabaja Por Su Cuenta Como Profesionista,Trabaja Por Su Cuenta En Oficios,Funcionario Público,Sector Empresarial,Negocio Propio,Obrero / Artesano,Por Su Cuenta,Ventas,CASA,ESCUELA,OTROS,TRABAJO,TRANSPORTE,Independientes,Sector Público,Retiro,Trabajo Mediotiempo,Trabajo Tiempo Completo,Al Hogar Y Trabaja 1/2 Tiempo,Estudiante Y Trabaja 1/2 Tiempo,Solo Trabaja 1/2 Tiempo,Director,Dueño O Socio,Gerente,Empleado Privado O Público,Trabaja Medío Tiempo,Agricultor Y Ganadero,Temporamente Desemplado,Estudiante Y Trabaja Medio Tiempo,Servidor Publico,Labores DelHogar,Servidores Público,Profesionista Independiene,Empleado Independiente,Rofesionista,Servicio Pública,Estudiante Y Trabaja,Trabajo,No Contestó,Servicio Publico,Estudiante Y Trabaja 1/2 Medio Tiempo,Funcionario,circulacion_Vendidos a un precio menor del 50%,EMPLEADOS,FUNCIONARIOS,PROFESIONISTAS,Empresario IP,Empresa,Trabaja Por Su Cuenta,IP,Jubildo,Jubilado/pensionado/retirado,Político,Estudiente,Administrativos,Educadores,"Otros Profesionistas Diversos (ingenieros, Contadores)",Esmpresario,Trabajo Completo,Trabajo Medio Tiempo,Amas De Casa,Ejecutivas,Empresaria,Comercante,Profeaionista,Estudante,Estuiante,Empleado Ip,Comerciate,Profesional Independiente,Empleo IP,Servicio Público,Administración Pública,Diseño / Propietario,Jubilado O Pendionado,Agricultor O Ganadero,Empleado Privado,Jubilado Y Pensionado,Patrón/Empresario/Profesionista/Independiente,Trabaja Medo Tiempo,Obrero Pemex,Profesionista Independietne,Servicios Públicos,info_Alto,Estudiante Trabaja 1/2 Tiempo
TRIBUNA DE TLALPAN,CCPRI/3/TC/09/18440,Mensual,Tribuna De Tlalpan,Glafira Isabel Osorio Clark,OOCG661105DY5,Ciudad De México,85,14260,Tlalpan,Miguel Hidalgo,Benito Juárez,6645.8984 ,Vladimir Rothschuh,Glafira Isabel Osorio Clark,Ulla Rothschuh,01 DIC 2008,01 ABR 2019,,tdtoficina@gmail.com,Glafira Isabel Osorio Clark,,Glafira Isabel Osorio Clark,SI,SI,SI,SI,Periódico,TRIBUNA DE TLALPAN,CCPRI/3/TC/09/18440,Mensual,14 JUN 2019,02 ABR 2019,5000,Consultoria,Gregorio Flores Cerón,3,5000,,,,,TRIBUNA DE TLALPAN,CCPRI/3/TC/09/18440,Mensual,Gregorio Flores Cerón,Ciudad De México,39,8,,Tlalpan,Pedregal de Santa Ursula Xitla,Tirampies,,,Cuestionario,3000,1000,95,01 FEB 2019,30 ABR 2019,,Más Menos Cinco,30%,70%,100%,,20%,50%,20%,30%,60%,5%,50%,10%,40%,,,,10%,,,,,Glafira Isabel Osorio Clark,SI,,consultoria_fiscal2005@yahoo.com.mx,10%,,5%,15%,,5%,,15%,,15000,15000,5000,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNOMÁSUNO NACIONAL,CCPRI/3/TC/19/21152,Diario,Unomásuno Nacional,Karina Raquel Libien Rocha,LIRK9902187Y8,Ciudad De México,86,6470,Cuauhtemoc,San Rafael,Gabino Barreda,55.1055.5500 ,Naim Libien Kaui,,,14 NOV 1977,, www.unomasuno.com.mx,karina.rocha1968@yahoo.com.mx,Karina A. Rocha Priego,Isabel Mejía Sánchez,,NO,NO,SI,SI,Periódico,UNOMÁSUNO NACIONAL,CCPRI/3/TC/19/21152,Diario,30 NOV 2021,22 NOV 2021,45000,Certificadora,"Romay Hermida y Cía, S. C.",301,33644.68,6757450,3331443,8622050,28644.68,UNOMÁSUNO NACIONAL,CCPRI/3/TC/19/21152,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,17000,500,95,01 OCT 2021,31 OCT 2021,Calle,Más Menos Cinco,38%,62%,100%,13%,40%,31%,9%,21%,68%,11%,28%,2%,37%,16%,17%,,13%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,7%,,30%,27%,,,,,1505000,1505000,5000,1%,5%,55.1055.6600 ,5196043,,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.10556500 ,,,,,,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 HORAS EL DIARIO SIN LÍMITES,CCPRI/3/TC/11/19328,Lunes A Viernes,24 Horas El Diario Sin Límites,"Información Integral 24/7, S.A.P.I. de C.V.",IIN1110125F3,Ciudad De México,216,11590,Miguel Hidalgo,Anzures,Av. Ejército Nacional,55.1454.4001 ,Antonio Torrado Monge,Alberto González Martínez,María del Rosario Pérez Lara,12 OCT 2011,25 MAR 2022, www.24-horas.mx,publicidad@24-horas.mx,Armando Estrop Almaguer,Yolanda Ramírez Ortíz,Alejandro Francisco Álvarez Manilla Flores,SI,SI,SI,SI,Periódico,24 HORAS EL DIARIO SIN LÍMITES,CCPRI/3/TC/11/19328,Lunes A Viernes,01 ABR 2022,24 MAR 2022,93300,Certificadora,"M&A Calificación de Medios, S.C.",58,93200,,,,,24 HORAS EL DIARIO SIN LÍMITES,CCPRI/3/TC/11/19328,Lunes A Viernes,"M&A Investigación de la Comunicación, S.C.",Ciudad De México,393,301,6500,Cuauhtemoc,Cuauhtémoc,Paseo de la Reforma,5555146191,http://www.moctezumayasociados.com.mx,Encuesta,,300,95,26 MAR 2022,28 MAR 2022,Internet,Más Menos Cinco,45%,55%,100%,16%,24%,26%,34%,55%,40%,5%,60%,18%,22%,,,8%,11%,,3%,,65%,,,MORAL,,,,,,,,,,,5163972,5163972,89034,,,,,,,,,,,,Piso 13,,,,,,,241628,241628,4166,,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRE 57,CCPRI/3/TC/09/18372,Diario,Calibre 57,"Zocalo de Monclova, S.A. de C.V.",ZMO980826C55,Coahuila De Zaragoza,1205,25714,Monclova,Picasso,Benito Juárez,866.636.1300 ,Francisco José Juaristi Santos,Luis Eduardo Mendoza López,Milton Carlos Malacara Carmona,07 SEP 2007,08 MAR 2019, www.zocalo.com.mx,gmayanin@hotmail.com,José David Juaristi Santos,Gabriela Myanin Bustos Adame,Blanca Margarita Rivera Sánchez,SI,NO,SI,SI,Periódico,CALIBRE 57,CCPRI/3/TC/09/18372,Diario,05 AGO 2019,21 ENE 2019,34216,Certificadora,"Aplicaciones Editoriales, S.A. de C.V.",90,33210,3034170,45270,2988900,33210,CALIBRE 57,CCPRI/3/TC/09/18372,Diario,"Aplicaciones Editoriales, S.A. de C.V.",San Luis Potosí,760,,78200,San Luis Potosi,Del Valle,Agustín Vera,444.811.3002,,Cuestionario,630,600,97,03 ENE 2019,10 ENE 2019,Internet,Más Menos Tres,12%,88%,100%,8%,24%,43%,17%,48%,52%,,15%,13%,37%,14%,21%,11%,8%,,,,,,SI,,mateo_press@yahoo.com.mx,7%,1%,,33%,26%,,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRE 57 LA NOTICIA DE BALAZO,CCPRI/3/TC/10/18780,Diario,Calibre 57 La Noticia De Balazo,"Zócalo de Saltillo, S.A. de C.V.",ZSA071018GN3,Coahuila De Zaragoza,5280,25210,Saltillo,Rancho de la Peña,Blvd. Venustiano Carranza,844.438.1800 ,Francisco José Juaristi Santos,Sergio Cisneros,Claudia Olinda Moran,13 JUN 2008,08 MAR 2011, www.zocalo.com.mx,mayra.admonzocalo@gmail.com,Francisco José Juaristi Santos,Orlando Adalberto Hernández de la Rosa,Patricia Murillo Charles,SI,NO,SI,SI,Periódico,CALIBRE 57 LA NOTICIA DE BALAZO,CCPRI/3/TC/10/18780,Diario,07 AGO 2019,21 ENE 2019,52986,Certificadora,"Aplicaciones Editoriales, S.A. de C.V.",90,51150,4499370,82620,4603500,51150,CALIBRE 57 LA NOTICIA DE BALAZO,CCPRI/3/TC/10/18780,Diario,"Aplicaciones Editoriales, S.A. de C.V.",San Luis Potosí,760,,78200,San Luis Potosi,Del Valle,Agustín Vera,444.811.3002,,Encuesta,630,600,97,10 ENE 2019,21 ENE 2019,Internet,Más Menos Tres,17%,83%,100%,3%,16%,40%,28%,59%,41%,,9%,,37%,14%,40%,9%,3%,,,,,,,,mateo_press@yahoo.com.mx,11%,2%,,37%,29%,,,,19%,,,,,,,186750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL COAHUILA,CCPRI/3/TC/14/20328,Lunes A Viernes,Capital Coahuila,"Capital News, S.A. de C.V.",EPU9812212U5,Coahuila De Zaragoza,202,25022,Saltillo,Centro,Allende,55.3099.3000 ,José Antonio García Herrera,Cynthia Valdez Gómez,,27 NOV 2014,22 MAR 2022, www.capitalcoahuila.com.mx,enrique.iriarte@capitalmedia.mx,,Raúl Jesús Anaya Manzanero Y Cynthia Valdez G,Luis Cervantes Gómez,SI,NO,SI,SI,Periódico,CAPITAL COAHUILA,CCPRI/3/TC/14/20328,Lunes A Viernes,24 MAR 2022,15 ENE 2022,50200,Certificadora,"Romay Hermida y Cía, S. C.",65,50000,,,,,CAPITAL COAHUILA,CCPRI/3/TC/14/20328,Lunes A Viernes,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Encuesta,50000,500,95,01 DIC 2021,31 DIC 2021,Internet,Más Menos Cinco,38%,62%,100%,4%,28%,41%,22%,47%,49%,4%,35%,5%,48%,4%,8%,,9%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,5%,,19%,26%,,,,,3250000,3250000,50000,2%,14%,,,,,30%,,,,,Piso 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL DIARIO DE COAHUILA,CCPRI/3/TC/10/18666,Diario,El Diario De Coahuila,"Cía. Periodística Criterios, S. A. de C. V.",PCR851009HK1,Coahuila De Zaragoza,1035,25260,Saltillo,Universidad,Av. Universidad,84.4438.8100 ,Luis Horacio Salinas Aguilera,Héctor Lorenzo Chapa García,,07 OCT 1986,29 SEP 2019, www.eldiariodecoahuila.com.mx,direccion@eldiariodecoahuila.com.mx,Luis Horacio Salinas Aguilera,Jaime González Valladares,Luis Miguel Carrillo Pasilla,SI,NO,SI,SI,Periódico,EL DIARIO DE COAHUILA,CCPRI/3/TC/10/18666,Diario,01 ENE 2010,12 AGO 2019,25470,Certificadora,"Aplicaciones Editoriales, S.A. de C.V.",91,22250,2023294,146510,2003820,22020,EL DIARIO DE COAHUILA,CCPRI/3/TC/10/18666,Diario,"Aplicaciones Editoriales, S.A. de C.V.",San Luis Potosí,760,,78200,San Luis Potosi,Del Valle,Agustín Vera,444.811.3002,,Cuestionario,630,600,97,,12 AGO 2019,Internet,Más Menos Tres,64%,36%,100%,,5%,41%,32%,95%,5%,,38%,14%,48%,,,11%,16%,,,,,,SI,,mateo_press@yahoo.com.mx,18%,4%,,17%,5%,,,,48%,20930,20930,230,,,,127036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL HERALDO DE SALTILLO,CCPRI/3/TC/08/18076,Diario,El Heraldo De Saltillo,"Alpha División Internacional, S.A. de C.V.",ADI030318SK3,Coahuila De Zaragoza,236,25000,Saltillo,Saltillo Centro,Abasolo Norte,844.414.2250 ,Francisco de Jesús de la Peña de León,Francisco de Jesús de la Peña de León,José de Jesús Torres Anguiano,07 ABR 1963,, www.elheraldodesaltillo.mx,heraldosaltillo@outlook.com,Francisco de Jesús de la Peña de León,Francisco de Jesús de la Peña de León,Alicia del Socorro de la Peña De León,NO,NO,SI,SI,Periódico,EL HERALDO DE SALTILLO,CCPRI/3/TC/08/18076,Diario,24 AGO 2021,18 AGO 2021,15000,Certificadora,"Jimsa Comunicación, Activación de Marcas, S.A. de C.V.",62,14032.25,902100,60000,866100,13969.35,EL HERALDO DE SALTILLO,CCPRI/3/TC/08/18076,Diario,"Jimsa Comunicación, Activación de Marcas, S.A. de C.V.",Ciudad De México,58,1,6720,Cuauhtemoc,Doctores,Dr. Jiménez,55448561,,Encuesta,585,200,97,20 JUL 2021,04 AGO 2021,Calle,Más Menos Tres,34%,66%,80%,,20%,35%,30%,56%,44%,,59%,4%,37%,,,,,,,,,,,MORAL,jimsacomunicacion@hotmail.com,15%,,,23%,,,,,,,,,,,,24000,,21%,,,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3900,62.9,,,,,,,,,,20%,,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,,,,,,,,,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL SIGLO DE TORREÓN,CCPRI/3/TC/17/20854,Diario,El Siglo De Torreón,"Cía Editora de la Laguna, S.A. de C.V.",ELA2508203L8,Coahuila De Zaragoza,1056,27000,Torreon,Torreón Centro,Av. Matamoros Pte.,871.759.1200 ,Olga de Juambelz y Horcasitas,María del Socorro Soto Navarrete,,28 FEB 1922,, www.elsiglodetorreon.com.mx,foraneos@elsiglodetorreon.com.mx,Antonio González-Karg de Juambelz,María del Socorro Soto Navarrete,Mónica Meléndez Pérez,SI,NO,SI,SI,Periódico,EL SIGLO DE TORREÓN,CCPRI/3/TC/17/20854,Diario,15 JUN 2021,07 MAY 2021,34500,Certificadora,"Romay Hermida y Cía, S. C.",121,33595.38,3222819,103104,4051441,33482.98,EL SIGLO DE TORREÓN,CCPRI/3/TC/17/20854,Diario,"Ipsos Bimsa, S.A. de C.V.",Ciudad De México,94,Torre A,1210,Álvaro Obregón,Zedec Santa Fe,Av. Santa Fe,55 1101 0000,,Entrevista,19200,800,95,01 JUL 2018,31 DIC 2018,De Casa a Casa,Más Menos Siete,54%,46%,100%,15%,19%,21%,31%,31%,25%,31%,21%,,35%,,44%,,16%,,,,,Antonio González Karg de Juambelz,,MORAL,romayhermidayciasc@gmail.com,,,13%,,,,,,,13600,13600,112.4,,,,931726,,,,,,14%,,,,,,,,,,,,,,,,,,,,,,,,30%,,,47%,,,,,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACION CON VALOR VANGUARDIA,CCPRI/3/TC/18/21097,Diario,Informacion Con Valor Vanguardia,"GRUPO EDITORIAL DE COAHUILA, S.A. DE C.V.",GEC930824FH5,Coahuila De Zaragoza,1918,25280,Saltillo,República,Venustiano Carranza,84.445.0100 ,Diana María Galindo Terrier,Armando Castillo Galindo,Kowanin Angélica Silva Maynez,04 OCT 1975,, www.vanguardia.com.mx,publicidad@vanguardia.com.mx,Armando Castilla Galindo,Armando Castilla Galindo,Sergio Reséndiz Tzompa,NO,SI,SI,SI,Periódico,INFORMACION CON VALOR VANGUARDIA,CCPRI/3/TC/18/21097,Diario,21 DIC 2020,26 NOV 2020,46734,Certificadora,Agencia Certificadora y Gestora de Medios SC,92,46414,4299528,29440,4270088,46414,INFORMACION CON VALOR VANGUARDIA,CCPRI/3/TC/18/21097,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,46414,329,96,19 NOV 2020,26 NOV 2020,Internet,Más Menos Cuatro,53%,47%,96%,16%,21%,29%,18%,85%,,15%,41%,32%,23%,,4%,,14%,,,,,,,MORAL,acgm.sc@gmail.com,,16%,,,32%,13%,,,18%,,,,,,,,,,,,4%,,16%,A,,,,,,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA VOZ DE PIEDRAS NEGRAS,CCPRI/3/TC/15/20562,Diario,La Voz De Piedras Negras,"Editorial Milenio de Coahuila, S. A. de C. V.",EMC991116DZ3,Coahuila De Zaragoza,400,25090,Piedras Negras,Colonia Villa de Fuente,Calle Allende,878 795 2604 ,Salvador Kamar Gómez,Jorge Arturo Salazar Urrutia,Corina Rivas,15 JUN 2002,24 ENE 2019, www.periodicolavoz.com.mx,contacto@periodicolavoz.com.mx,Fabio Iván Fernández Valdez,Fabio Iván Fernández Valdéz,Gabriela Mavanin Hernandez Pontigo,SI,NO,SI,SI,Periódico,LA VOZ DE PIEDRAS NEGRAS,CCPRI/3/TC/15/20562,Diario,06 ABR 2017,16 MAR 2017,7770,Certificadora,"Agencia Certificadora y Gestora de Medios, S.C.",91,6251,511875,102375,552825,6075,LA VOZ DE PIEDRAS NEGRAS,CCPRI/3/TC/15/20562,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,http://www.agenciacgm.com,Cuestionario,6251,720,95,21 DIC 2018,28 DIC 2018,Internet,Más Menos Cinco,42%,58%,100%,5%,27%,34%,28%,59%,41%,,62%,12%,16%,4%,6%,,,,,,,,,MORAL,acgm.sc@gmail.com,,4%,,,,,,,,16016,16016,176,,,,143325,,,,,,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGUNA LA I NOTICIAS PARA MÍ,CCPRI/3/TC/13/19828,Diario,Laguna La I Noticias Para Mí,"Cía. Editora de la Laguna, S.A. de C.V.",ELA2508203L8,Coahuila De Zaragoza,71,27000,Torreon,Torreón Centro,C. Acuña,871.759.1200 ,,María del Socorro Soto Navarrete,María del Socorro Soto Navarrete,28 FEB 1922,, www.elsiglodetorreon.com.mx/lailaguna/,foraneos@elsiglodetorreon.com.mx,,María del Socorro Soto Navarrete,Mónica Meléndez Pérez,SI,NO,SI,SI,Periódico,LAGUNA LA I NOTICIAS PARA MÍ,CCPRI/3/TC/13/19828,Diario,14 JUN 2021,07 MAY 2021,14500,Certificadora,"Romay Hermida y Cía, S. C.",121,14065.66,1738894,45864,1693030,13991.98,LAGUNA LA I NOTICIAS PARA MÍ,CCPRI/3/TC/13/19828,Diario,"Ipsos, S.A. de C.V.",Ciudad De México,475,7,121,Álvaro Obregón,Zedec Santa Fe,Av. Santa Fe,01 55 1101 0000,,Cuestionario,19200,800,95,01 JUL 2018,31 DIC 2018,Internet,Más Menos Siete,56%,44%,100%,15%,21%,15%,31%,26%,27%,37%,19%,,32%,5%,44%,,19%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,,10%,,,,,,,8915,8915,73.68,,,,,,,,,,18%,,Sur,,,,,,,,,,,,,,,,,,,,,,32%,6%,,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,,,,,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILENIO DIARIO LAGUNA,CCPRI/3/TC/11/19204,Diario,Milenio Diario Laguna,"Milenio Diario, S. A. de C. V.",MDI991214A74,Coahuila De Zaragoza,16,27000,Torreon,Centro,Av. Allende,018717491100 ,Francisco A. González,Marcela Moreno,Miguel Angel Vargas,27 SEP 1917,05 DIC 2018, www.milenio.com,patricia.ibarra@milenio.com,,Javier Chapa Cantú,Juan Gramillo,SI,NO,SI,SI,Periódico,MILENIO DIARIO LAGUNA,CCPRI/3/TC/11/19204,Diario,31 DIC 2018,10 OCT 2018,17631,Consultoria,"Dinámica de Normas y Consultoría, S. C.",181,15258.81,3128652,429355,2732330,15095.75,MILENIO DIARIO LAGUNA,CCPRI/3/TC/11/19204,Diario,"Ipsos, S.A. de C.V.",Ciudad De México,475,7,121,Álvaro Obregón,Zedec Santa Fe,Av. Santa Fe,01 55 1101 0000,,Entrevista,19200,800,95,01 JUL 2017,31 DIC 2017,Calle,Más Menos Cinco,43%,57%,100%,7%,34%,30%,11%,16%,20%,43%,13%,,52%,10%,23%,,18%,,,,,Angel Cong,,MORAL,,,,21%,,,14%,,,,,,,6%,,,33033,,,,,,18%,,,,,,,,,29514,29514,163.06,,,,,,,,,,,,,,,,54%,,,,,,,,,,018717491180 ,,,,,,,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCALO ACUÑA,CCPRI/3/TC/09/18373,Diario,Zócalo Acuña,"Editorial Acuña, S.A. de C.V.",EAC750118BM9,Coahuila De Zaragoza,1200,26200,Acuña,Centro,Nicolás Bravo Sur,877.772.5705 ,,Luis Francisco Liñan Delgadillo,Sandra Cisneros,01 ABR 1975,07 MAR 2019, www.zocalo.com.mx,publicidad.zocalo@hotmail.com,Francisco José Juaristi Santos,Armando Chávez Sánchez,Alejandro Javier Chávez Sánchez,SI,NO,SI,,Periódico,ZOCALO ACUÑA,CCPRI/3/TC/09/18373,Diario,07 AGO 2019,10 ENE 2019,8813,Certificadora,"Aplicaciones Editoriales, S.A. de C.V.",90,8289,694440,23580,696060,7734,ZOCALO ACUÑA,CCPRI/3/TC/09/18373,Diario,"Aplicaciones Editoriales, S.A. de C.V.",San Luis Potosí,760,,78200,San Luis Potosi,Del Valle,Agustín Vera,444.811.3002,,Cuestionario,630,600,97,12 NOV 2010,10 ENE 2019,Internet,Más Menos Tres,30%,70%,100%,3%,23%,35%,23%,83%,17%,,28%,9%,39%,,24%,19%,12%,,,,,Francisco José Juaristi Santos,SI,,mateo_press@yahoo.com.mx,15%,1%,,34%,10%,,,,25%,49950,49950,555,,,,25200,,,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
